Asset,omega,alpha,beta,persistence,alpha_pval,beta_pval,log_lik,aic,n_obs
ETH,0.375908,0.0823,0.9035,0.9859,0.0126,0.0,-6169.5,12347.0,2191
BTC,0.335521,0.1195,0.8651,0.9845,0.0475,0.0,-5562.41,11132.83,2191
