date,eth_cond_vol
2020-01-02,4.494838549711152
2020-01-03,4.398143020290427
2020-01-04,4.491498546743895
2020-01-05,4.3138458067709315
2020-01-06,4.150879716290814
2020-01-07,4.361593740112938
2020-01-08,4.202979127265854
2020-01-09,4.068982504603484
2020-01-10,3.971622999639088
2020-01-11,4.0707553522736255
2020-01-12,3.954662849653366
2020-01-13,3.8873744565042756
2020-01-14,3.798834973560227
2020-01-15,5.46284959782804
2020-01-16,5.229326658877687
2020-01-17,5.026588168417848
2020-01-18,4.904311686591469
2020-01-19,4.748984847028713
2020-01-20,4.7334705757695446
2020-01-21,4.541012410815137
2020-01-22,4.377890944663388
2020-01-23,4.21619990681733
2020-01-24,4.166521501594839
2020-01-25,4.008722562465081
2020-01-26,3.884139618190657
2020-01-27,3.950625043494451
2020-01-28,3.819082352771406
2020-01-29,3.784072851536467
2020-01-30,3.6668308018685174
2020-01-31,3.9299595935785123
2020-02-01,3.8666637914508724
2020-02-02,3.7624924665595754
2020-02-03,3.6951363218104407
2020-02-04,3.568249159693535
2020-02-05,3.4507127151223864
2020-02-06,3.9565811577027516
2020-02-07,4.009402154741453
2020-02-08,4.068375854462871
2020-02-09,3.9163160788452216
2020-02-10,3.8271624977696828
2020-02-11,3.7666723670439617
2020-02-12,4.000296519048479
2020-02-13,5.054922009224898
2020-02-14,4.849217912386332
2020-02-15,4.950072805653726
2020-02-16,5.215256817162074
2020-02-17,5.04510263688802
2020-02-18,4.9236665481242445
2020-02-19,4.949980918371364
2020-02-20,5.416671463255301
2020-02-21,5.189499902042539
2020-02-22,5.045441208580112
2020-02-23,4.855889919405341
2020-02-24,4.843596437303232
2020-02-25,4.751191622716534
2020-02-26,5.044135747134666
2020-02-27,5.59799469061552
2020-02-28,5.3744811979030285
2020-02-29,5.148347545932928
2020-03-01,5.09606198051516
2020-03-02,4.882698270414348
2020-03-03,5.001086256653884
2020-03-04,4.909531074781543
2020-03-05,4.706754898747756
2020-03-06,4.540545735947203
2020-03-07,4.776960128922279
2020-03-08,4.681138487734438
2020-03-09,6.742823588645889
2020-03-10,6.453117560627312
2020-03-11,6.174275586241127
2020-03-12,5.9739940774743285
2020-03-13,17.928641257815983
2020-03-14,18.145703196589256
2020-03-15,17.45763672526027
2020-03-16,16.607050629708183
2020-03-17,16.11235985779571
2020-03-18,15.36906442026455
2020-03-19,14.631966262382667
2020-03-20,14.502186290155427
2020-03-21,13.813589311168068
2020-03-22,13.14644660439276
2020-03-23,12.734901587530757
2020-03-24,12.480678713481245
2020-03-25,11.88855896367714
2020-03-26,11.329595423929781
2020-03-27,10.795216834435061
2020-03-28,10.396108455151891
2020-03-29,9.901588058913951
2020-03-30,9.550902117026025
2020-03-31,9.246306288959461
2020-04-01,8.810748543305598
2020-04-02,8.417761063980194
2020-04-03,8.101216632652953
2020-04-04,7.724923339129724
2020-04-05,7.386135956175709
2020-04-06,7.055291379290446
2020-04-07,8.508928612477785
2020-04-08,8.19820658450716
2020-04-09,7.93987612409743
2020-04-10,7.599760075062782
2020-04-11,7.548435742618683
2020-04-12,7.201300295969894
2020-04-13,6.872445952026371
2020-04-14,6.577799809434241
2020-04-15,6.291876184773898
2020-04-16,6.11236454129712
2020-04-17,6.764543886734092
2020-04-18,6.466783544795414
2020-04-19,6.714660509986419
2020-04-20,6.523114602445883
2020-04-21,6.447874757194973
2020-04-22,6.159627839807661
2020-04-23,6.184276541647615
2020-04-24,5.923056014743873
2020-04-25,5.669833911583594
2020-04-26,5.506145596401849
2020-04-27,5.285961447320584
2020-04-28,5.0656718867536945
2020-04-29,4.854351219160946
2020-04-30,5.341323010937877
2020-05-01,5.279645771622662
2020-05-02,5.113644541108926
2020-05-03,4.903471364183022
2020-05-04,4.7386037644175225
2020-05-05,4.574707585944398
2020-05-06,4.396619244604144
2020-05-07,4.328399046456359
2020-05-08,4.521411383771722
2020-05-09,4.343559876538507
2020-05-10,4.179599062223765
2020-05-11,5.203336582268105
2020-05-12,4.99446545187741
2020-05-13,4.820360467474688
2020-05-14,4.829965665272833
2020-05-15,4.656613232780122
2020-05-16,4.643737826856837
2020-05-17,4.521293425892483
2020-05-18,4.4283276515232295
2020-05-19,4.37609776399502
2020-05-20,4.2055634189500095
2020-05-21,4.099397080074894
2020-05-22,4.266906739059678
2020-05-23,4.26554063289135
2020-05-24,4.103490309331627
2020-05-25,4.071652332274843
2020-05-26,3.9576569154740104
2020-05-27,3.8454985784909796
2020-05-28,3.836210519589015
2020-05-29,4.008844823125777
2020-05-30,3.859549163061862
2020-05-31,4.65302803889622
2020-06-01,4.7131205017538855
2020-06-02,4.9224424962523425
2020-06-03,4.892318116808732
2020-06-04,4.752070505016154
2020-06-05,4.562891872525991
2020-06-06,4.400942462878891
2020-06-07,4.231708702586149
2020-06-08,4.0771705013601744
2020-06-09,3.9272112127429017
2020-06-10,3.7993463703552988
2020-06-11,3.6866560510587365
2020-06-12,4.142055114618765
2020-06-13,4.067097610594307
2020-06-14,3.914256988489914
2020-06-15,3.8594972178848486
2020-06-16,3.7229332894734513
2020-06-17,3.6258922540853797
2020-06-18,3.508128178449314
2020-06-19,3.4098439679798
2020-06-20,3.3152323396784174
2020-06-21,3.2109137192018355
2020-06-22,3.1168968756974142
2020-06-23,3.5155783741025526
2020-06-24,3.3977643972404294
2020-06-25,3.4592091651396797
2020-06-26,3.3585243790102477
2020-06-27,3.275657479752805
2020-06-28,3.3775906505616575
2020-06-29,3.3014761949540725
2020-06-30,3.2146642064873348
2020-07-01,3.135365898509675
2020-07-02,3.1070611899985523
2020-07-03,3.078704840339022
2020-07-04,3.000406195046551
2020-07-05,2.958879604801322
2020-07-06,2.8894383198465166
2020-07-07,3.2722033219337483
