date,btc_cond_vol
2020-01-02,3.5412162393207636
2020-01-03,3.5541830204860814
2020-01-04,3.7972196437532215
2020-01-05,3.5789302277121715
2020-01-06,3.378890025861157
2020-01-07,3.6531433587507642
2020-01-08,3.81179422058876
2020-01-09,3.6187815915929957
2020-01-10,3.5860680739258974
2020-01-11,3.736431601317831
2020-01-12,3.6151937933909695
2020-01-13,3.472892187541793
2020-01-14,3.3026955056604983
2020-01-15,4.199434471051579
2020-01-16,3.948547150189973
2020-01-17,3.745690709385553
2020-01-18,3.6006567493708905
2020-01-19,3.398933193926237
2020-01-20,3.3367069084262164
2020-01-21,3.1705342272085146
2020-01-22,3.021836227836208
2020-01-23,2.882208167822896
2020-01-24,2.9857483845361483
2020-01-25,2.8380416256336236
2020-01-26,2.7415491714032307
2020-01-27,2.822610552358298
2020-01-28,2.9041071925038136
2020-01-29,3.2483311604266003
2020-01-30,3.093368157099754
2020-01-31,3.022262414982691
2020-02-01,2.9412771449155497
2020-02-02,2.796941681345981
2020-02-03,2.6769969408686025
2020-02-04,2.564269591284908
2020-02-05,2.4886678365379877
2020-02-06,2.802301546688783
2020-02-07,2.719066296289986
2020-02-08,2.5960427606759526
2020-02-09,2.4935915558814297
2020-02-10,2.5302238187556876
2020-02-11,2.658483589935396
2020-02-12,2.818506967355126
2020-02-13,2.700475931463667
2020-02-14,2.6056992123264013
2020-02-15,2.513457113373417
2020-02-16,2.8680286426888646
2020-02-17,2.729691914034348
2020-02-18,2.7243045161541306
2020-02-19,3.021224913375356
2020-02-20,3.528640595843501
2020-02-21,3.332970671212993
2020-02-22,3.162191981422393
2020-02-23,3.0013289468243123
2020-02-24,3.005632687098847
2020-02-25,3.0401338555283166
2020-02-26,3.16398463431818
2020-02-27,3.6516728777527594
2020-02-28,3.446644904363097
2020-02-29,3.307121846420913
2020-03-01,3.2153046999176635
2020-03-02,3.0461576349440844
2020-03-03,3.2408939361670894
2020-03-04,3.1402292453949316
2020-03-05,2.978984588638145
2020-03-06,3.0454641657834296
2020-03-07,2.900877712979772
2020-03-08,2.934101789270402
2020-03-09,4.511624485968195
2020-03-10,4.265848744769928
2020-03-11,4.015155833260167
2020-03-12,3.7809309123625905
2020-03-13,17.790065227290793
2020-03-14,17.335862075105194
2020-03-15,16.35384635314284
2020-03-16,15.267564241266737
2020-03-17,14.39171003867465
2020-03-18,13.523835027732332
2020-03-19,12.600102671250811
2020-03-20,12.58598641891148
2020-03-21,11.72202792640698
2020-03-22,10.919215790816173
2020-03-23,10.405821721143312
2020-03-24,10.34651297468029
2020-03-25,9.741019049933042
2020-03-26,9.087356639579882
2020-03-27,8.475570949429674
2020-03-28,8.166561030423782
2020-03-29,7.652343701216791
2020-03-30,7.4384955347046695
2020-03-31,7.498918878942372
2020-04-01,6.998678474515599
2020-04-02,6.639906421574451
2020-04-03,6.2446023654995235
2020-04-04,5.848051104950031
2020-04-05,5.499435874726924
2020-04-06,5.170241754263324
2020-04-07,5.533784798764969
2020-04-08,5.224723675365582
2020-04-09,4.946868701264595
2020-04-10,4.656562441230418
2020-04-11,4.862087507396478
2020-04-12,4.55920778272304
2020-04-13,4.280542908080298
2020-04-14,4.041785718870791
2020-04-15,3.804846153622782
2020-04-16,3.822658331809057
2020-04-17,4.310077061954536
2020-04-18,4.072074259735236
2020-04-19,3.9634258000764384
2020-04-20,3.791427753549903
2020-04-21,3.8807176706331687
2020-04-22,3.6556059110128802
2020-04-23,3.7033428732974034
2020-04-24,3.8565249572766724
2020-04-25,3.6336690774842237
2020-04-26,3.430304517100393
2020-04-27,3.3061190311908084
2020-04-28,3.144189785125369
2020-04-29,2.9888995987586897
2020-04-30,5.153691183839382
2020-05-01,4.876732803695436
2020-05-02,4.635985578101808
2020-05-03,4.380072941193624
2020-05-04,4.1302926855015665
2020-05-05,3.8875412776537956
2020-05-06,3.6989872588866106
2020-05-07,3.512183980285602
2020-05-08,4.468973978903445
2020-05-09,4.255863142020295
2020-05-10,4.120586675729741
2020-05-11,4.994302541900687
2020-05-12,4.733283911835033
2020-05-13,4.53785500313205
2020-05-14,4.643141995184601
2020-05-15,4.673802852507462
2020-05-16,4.731770488295438
2020-05-17,4.442684149525265
2020-05-18,4.29714019166258
2020-05-19,4.040727793844104
2020-05-20,3.803676461393573
2020-05-21,3.722442841235605
2020-05-22,3.9019675654821095
2020-05-23,3.689697083756919
2020-05-24,3.4803249602249062
2020-05-25,3.7625815246156167
2020-05-26,3.606220720108256
2020-05-27,3.4157730382695695
2020-05-28,3.4941507840526254
2020-05-29,3.5525489866007316
2020-05-30,3.4073394114236235
2020-05-31,3.3510390099969753
2020-06-01,3.311359921162699
2020-06-02,4.067382652567092
2020-06-03,4.544464477487391
2020-06-04,4.292919763896793
2020-06-05,4.0524501467904095
2020-06-06,3.8690443479558674
2020-06-07,3.6463778836904166
2020-06-08,3.4483012643178483
2020-06-09,3.2597935790661716
2020-06-10,3.08801731457915
2020-06-11,2.9495760533250537
2020-06-12,3.587296083934936
2020-06-13,3.4436183414452595
2020-06-14,3.2549047009400494
2020-06-15,3.1288910415889
2020-06-16,2.977980146214435
2020-06-17,2.846304224635588
2020-06-18,2.723953589083692
2020-06-19,2.6216849832828757
2020-06-20,2.5288459252120425
2020-06-21,2.4254963493509756
2020-06-22,2.3475954840289073
2020-06-23,2.6410629639770358
2020-06-24,2.538574199511219
2020-06-25,2.7364017870750987
2020-06-26,2.620383116360854
2020-06-27,2.5342850667595913
2020-06-28,2.507010065081829
2020-06-29,2.426794308896189
2020-06-30,2.3417455805843383
2020-07-01,2.2686407821754515
2020-07-02,2.2079604940193045
2020-07-03,2.2178323810909224
2020-07-04,2.148801256304646
2020-07-05,2.094292582828252
2020-07-06,2.055204298865274
2020-07-07,2.2229176915381323
2020-07-08,2.180242634166864
2020-07-09,2.1938982031218175
2020-07-10,2.270584149188884
2020-07-11,2.1951376146774244
2020-07-12,2.137952008290167
2020-07-13,2.0807732253178206
2020-07-14,2.0394551313773372
2020-07-15,1.9833392035648316
2020-07-16,1.9528302305722784
2020-07-17,1.9294101096255794
2020-07-18,1.885802815584779
2020-07-19,1.847126003612493
2020-07-20,1.815208316811389
2020-07-21,1.800624857301991
2020-07-22,1.9435460593140492
2020-07-23,1.9425026242156465
2020-07-24,1.913885345972386
2020-07-25,1.8946593034792312
2020-07-26,1.9287177865222969
2020-07-27,2.0317001509346766
2020-07-28,4.080541110200305
2020-07-29,3.8649865663992053
2020-07-30,3.6830545211655696
2020-07-31,3.4746659308544916
2020-08-01,3.3510310421660576
2020-08-02,3.4399949265727208
2020-08-03,3.961318069046472
2020-08-04,3.7514582339698506
2020-08-05,3.5397595469993353
2020-08-06,3.7107072197805997
2020-08-07,3.499530904350807
2020-08-08,3.3520849944611406
2020-08-09,3.2012777177085727
2020-08-10,3.0472115388727024
2020-08-11,2.947097314264023
2020-08-12,3.1985203619116724
2020-08-13,3.0658624448692695
2020-08-14,2.9674991231149224
2020-08-15,2.8224126736955673
2020-08-16,2.696634971924349
2020-08-17,2.576648651012933
2020-08-18,2.661230236934931
2020-08-19,2.7372896783878202
2020-08-20,2.681624633005783
2020-08-21,2.5711516414653763
2020-08-22,2.6592554045322707
2020-08-23,2.5624023282405752
2020-08-24,2.454662313555556
2020-08-25,2.3675279596763685
2020-08-26,2.6441347577308276
2020-08-27,2.5546669064069247
2020-08-28,2.4873371444112213
2020-08-29,2.444849770658796
2020-08-30,2.3587338257031685
2020-08-31,2.3674714124385488
2020-09-01,2.289310999783057
2020-09-02,2.328380804488836
2020-09-03,2.7765941765635698
2020-09-04,4.8523384160053755
2020-09-05,4.652241256205452
2020-09-06,4.477230650351486
2020-09-07,4.211524875903239
2020-09-08,3.9739549785300827
2020-09-09,3.8452373155857953
2020-09-10,3.6321893486445207
2020-09-11,3.444319542446888
2020-09-12,3.25744178213109
2020-09-13,3.0868903560991816
2020-09-14,2.9582701504037128
2020-09-15,3.0047678694118694
2020-09-16,2.870833915323192
2020-09-17,2.7741313728875236
2020-09-18,2.6462887925496483
2020-09-19,2.5296737481969664
2020-09-20,2.4568989822562526
2020-09-21,2.422987200803633
2020-09-22,2.8736061306157343
2020-09-23,2.752801085437974
2020-09-24,2.8144968482598456
2020-09-25,3.1094626377197265
2020-09-26,2.957407755046763
2020-09-27,2.812074375770746
2020-09-28,2.6803654087089988
2020-09-29,2.5777881350121525
2020-09-30,2.4999398984856582
2020-10-01,2.4103166487840806
2020-10-02,2.3833159814961014
2020-10-03,2.3011781151167456
2020-10-04,2.222270297613806
2020-10-05,2.1748690809956717
2020-10-06,2.132772793513419
2020-10-07,2.174983309017679
2020-10-08,2.110346895168701
2020-10-09,2.187891628776056
2020-10-10,2.1424829746645013
2020-10-11,2.1883009686349473
2020-10-12,2.1233553010873085
2020-10-13,2.1014496162610112
2020-10-14,2.0737467636958637
2020-10-15,2.014874476216788
2020-10-16,1.9723680418664746
2020-10-17,2.0208264219244447
2020-10-18,1.9679581105264363
2020-10-19,1.9563312678730524
2020-10-20,2.027730191979778
2020-10-21,2.0144649448221417
2020-10-22,3.086669453219428
2020-10-23,2.96269766040644
2020-10-24,2.821354752404207
2020-10-25,2.723840192120166
2020-10-26,2.6133092882640994
2020-10-27,2.4986627875911718
2020-10-28,2.803369779577785
2020-10-29,2.8542195882889105
2020-10-30,2.751507562107704
2020-10-31,2.6323370447526293
