date,eth_log_return,btc_log_return,tvl_log_return,eth_vol_30d,btc_vol_30d,tvl_vol_30d,tvl_drawdown,sentiment_composite,sentiment_z,fg_norm,usdc_depeg,usdc_deviation,vix_change,dxy_log_return,ffr_change
2020-01-01,,,,,,,0.0,0.37,0.25574203321522154,0.37,0,0.0035000000000000586,,,
2020-01-02,-0.02775802345501787,-0.033199534310396885,-0.0007695665014365,,,,-0.0007692704610822431,0.39,0.4181171434446066,0.39,0,0.0026999999999999247,,,0.0
2020-01-03,0.0547663035981071,0.05301482343029991,-0.009326270528173095,,,,-0.010045045139535923,0.38,0.33692958832991404,0.38,0,0.001100000000000101,1.549999999999999,0.00010610485604901302,0.0
2020-01-04,-0.0011171105239188646,0.0012449768838231309,0.013600567055071525,,,,0.0,0.38,0.33692958832991404,0.38,0,0.0007999999999999119,,,0.0
2020-01-05,0.008680545660113509,0.000630740747051131,0.0030272910957916625,,,,0.0,0.23833333333333334,-0.8132274424615628,0.39,0,0.0009999999999998899,,,0.0
2020-01-06,0.06284265388671631,0.05283448765744147,0.0059166236657846516,,,,0.0,0.24833333333333332,-0.7320398873468704,0.41,0,-9.999999999998899e-05,,,0.0
2020-01-07,-0.009409374178927144,0.04871404936371501,0.0216374584787477,,,,0.0,0.24333333333333335,-0.7726336649042165,0.4,0,-0.0009000000000000119,-0.0600000000000005,0.0016688153635202449,0.0
2020-01-08,-0.014672949476181342,-0.011023945589959614,-0.02046249502628634,,,,-0.020254558887524785,0.29833333333333334,-0.32610211177340787,0.51,0,0.0009999999999998899,-0.33999999999999986,-0.0001294073968120855,0.0
2020-01-09,-0.02140425031275049,-0.03001660428030768,0.036383915457055875,,,,0.0,0.2633333333333333,-0.6102585546748318,0.44,0,0.0006999999999999229,-0.9100000000000001,0.0008707886569834054,0.0
2020-01-10,0.0502618347808883,0.04737260507373657,-0.07013625982152213,,,,-0.06773321925417736,0.24833333333333332,-0.7320398873468704,0.41,0,0.0007999999999999119,0.02000000000000135,-0.00143638257824287,0.0
2020-01-11,-0.017130145221713255,-0.02183100482452105,-0.0026004889692140642,,,,-0.07015441921751756,0.29333333333333333,-0.36669588933075414,0.5,0,0.0004999999999999449,,,0.0
2020-01-12,0.028798889056090623,0.02036109856547728,0.03806093815794603,,,,-0.03408149398611981,0.2733333333333333,-0.5290709995601393,0.45,0,0.00029999999999996696,,,0.0
2020-01-13,-0.02040605758348074,-0.009160976526190662,-0.02876220379553596,,,,-0.06146770704160501,0.29333333333333333,-0.36669588933075414,0.49,0,0.0007999999999999119,,,0.0
2020-01-14,0.1429243875290294,0.08274878422149841,0.03176736688031014,,,,-0.031174385369039385,0.32833333333333337,-0.08253944642933018,0.56,0,-0.00029999999999996696,0.07000000000000028,-8.954259821221612e-05,0.0
2020-01-15,0.004577769709741938,0.001293146166175448,0.05748711052492838,,,,0.0,0.31833333333333336,-0.16372700154402273,0.54,0,0.0013000000000000789,0.02999999999999936,-0.0006183235281250375,0.0
2020-01-16,-0.013248431883362196,-0.011561336478177777,0.08899701045208253,0.8812919573164413,0.6823929813001808,0.7248477943882516,0.0,0.32333333333333336,-0.12313322398667646,0.55,0,0.0014000000000000679,-0.09999999999999964,0.00041573641171196627,0.0
2020-01-17,0.03376959810284693,0.021921914733313886,-0.029338639760703163,0.8560258129747553,0.6607045268889067,0.7262754600320548,-0.028912440079243724,0.31833333333333336,-0.16372700154402273,0.54,0,0.0017000000000000348,-0.22000000000000064,0.0005650547688401125,0.0
2020-01-18,0.024943878793876537,0.0003006297542892932,0.05517887378312703,0.829801184039821,0.642568651597493,0.7357691879775297,0.0,0.30333333333333334,-0.2855083342160616,0.51,0,0.0008999999999999009,,,0.0
2020-01-19,-0.04312403731138772,-0.024324520325978746,-0.017291765038400235,0.8491162251399308,0.6451393072608825,0.7252521484325192,-0.017143120478103846,0.31,-0.23138329747293335,0.53,0,0.0006999999999999229,,,0.0
2020-01-20,0.00047953006972962516,-0.0068438722969167065,-0.008676369753655879,0.8271686210118676,0.6315637621040106,0.7093715658329125,-0.02563386250634227,0.285,-0.43435218525966474,0.48,0,0.0018000000000000238,,,0.0
2020-01-21,0.015578861871151562,0.010781316488657582,-0.03769348260455017,0.8051924359908063,0.6147396019185875,0.7182964551795075,-0.06167754218738227,0.29,-0.39375840770231846,0.49,0,0.0017000000000000348,,,0.0
2020-01-22,-0.008413368741488026,-0.006162471944631271,0.047756714623528596,0.7898505019563682,0.602795515111486,0.7210771502926183,-0.015779087715529085,0.305,-0.2719770750302796,0.52,0,0.0028999999999999027,0.0600000000000005,0.0003445957739090957,0.0
2020-01-23,-0.031796682545051934,-0.03252372475192156,-0.004122763003155952,0.791142578482043,0.6119974956137534,0.7055224895394878,-0.01982844427528881,0.29,-0.39375840770231846,0.49,0,0.0025999999999999357,0.07000000000000028,0.00283558078876343,0.0
2020-01-24,-0.001659751418364508,0.004094161809795407,-0.018081901244114434,0.7743380183247864,0.5980407597551146,0.6969440244863309,-0.03739253491874396,0.245,-0.7591024057184345,0.4,0,0.0020000000000000018,1.58,9.51927241610931e-06,0.0
2020-01-25,-0.013565199185894754,-0.01173105985876297,-0.012161330593775376,0.7626203217028836,0.5893902136036101,0.6855538234416879,-0.04902822638078723,0.25,-0.7185086281610882,0.41,0,0.0021999999999999797,,,0.0
