date,fitted,residual,actual
2020-01-03,0.006024974527532792,-0.015351245055705792,-0.009326270528173
2020-01-07,0.00022978302003697493,0.021407675458710723,0.0216374584787477
2020-01-08,0.0011057537377124889,-0.02156824876399879,-0.0204624950262863
2020-01-09,2.178045143444736e-05,0.036362135005621354,0.0363839154570558
2020-01-10,0.0030121534150884203,-0.07314841323661053,-0.0701362598215221
2020-01-14,0.002410227096291173,0.029357139784018927,0.0317673668803101
2020-01-15,0.003199123764706435,0.05428798676022187,0.0574871105249283
2020-01-16,0.002031256498518824,0.08696575395356368,0.0889970104520825
2020-01-17,0.0017688313279341028,-0.031107471088637203,-0.0293386397607031
2020-01-22,0.002007736836988177,0.04574897778654032,0.0477567146235285
2020-01-23,0.00024342561311039066,-0.004366188616266291,-0.0041227630031559
2020-01-24,0.0048967131954801395,-0.02297861443959454,-0.0180819012441144
2020-01-28,-0.0006041382295259799,0.03706940156359978,0.0364652633340738
2020-01-29,0.00284199169497068,0.03913698973801482,0.0419789814329855
2020-01-30,0.00039180309945143014,0.01902407562817097,0.0194158787276224
2020-01-31,0.008962417977622001,-0.0069839841031174,0.0019784338745046
2020-02-04,0.0009191736482031984,-0.015018075756966598,-0.0140989021087634
2020-02-05,0.0006644665405643423,-0.009735607313961642,-0.0090711407733973
2020-02-06,0.0012736520223990844,0.03954831482336852,0.0408219668457676
2020-02-07,0.0015318504366867152,0.04063094729444088,0.0421627977311276
2020-02-11,0.004741561598880266,-0.058104600427556066,-0.0533630388286758
2020-02-12,0.0007940251547858045,0.043321595408313596,0.0441156205630994
2020-02-13,0.0031961148345999555,0.08197468105260074,0.0851707958872007
2020-02-14,0.002595228259600577,0.022627266366971523,0.0252224946265721
2020-02-19,0.000668348533667138,0.05021751057378386,0.050885859107451
2020-02-20,0.0013809709741020666,-0.029550905310338164,-0.0281699343362361
2020-02-21,0.006054296240001183,-0.10433939283251138,-0.0982850965925102
2020-02-25,0.008055871458237242,-0.002348573104374342,0.0057072983538629
2020-02-26,0.0003921996571360781,-0.03324985610825388,-0.0328576564511178
2020-02-27,0.022075458783585307,-0.11485621648471481,-0.0927807577011295
2020-02-28,0.0013691028173335527,-0.011278705316231551,-0.009909602498898
2020-03-03,0.009598791263335432,-0.019127634654174434,-0.009528843390839
2020-03-04,-0.008696999937805254,0.037339507404905055,0.0286425074670998
2020-03-05,0.014799676553304974,-0.035764849164018876,-0.0209651726107139
2020-03-06,0.006301424648173513,0.014750343538410688,0.0210517681865842
2020-03-10,-0.01677829546243087,-0.07179235542579383,-0.0885706508882247
2020-03-11,0.00939795235558802,-0.00747914395102202,0.001918808404566
2020-03-12,0.022806303687498978,-0.014231965601751178,0.0085743380857478
2020-03-13,-0.029918673632833494,-0.32922816445873726,-0.3591468380915708
2020-03-17,-0.02177511188119046,-0.14290488352342304,-0.1646799954046135
2020-03-18,-0.009931247558255635,0.10663344189724834,0.0967021943389927
2020-03-19,-0.013267687525680328,0.00021304038783632843,-0.013054647137844
